warranty_id,vehicle_registration,warranty_type,package_type,start_date,end_date,status,price,coverage_km
1,MH02XX1234,extended,3year,15/01/2025,15/01/2028,active,15000,160000
2,DL05YY5678,extended,3year,20/03/2026,20/03/2029,active,15000,160000
3,DL05YY5678,ccp,2year,20/03/2026,20/03/2028,active,5500,45000
4,MH12AB3456,extended,2year,25/08/2025,25/08/2027,active,12000,140000
5,MH12AB3456,ccp,1year,25/08/2025,25/08/2026,active,3500,25000
6,DL08CD7890,extended,3year,12/11/2026,12/11/2029,pending_payment,15000,160000
7,MH14KL3456,extended,1year,22/12/2024,22/12/2025,active,8000,120000
8,KA03IJ9012,extended,3year,30/05/2026,30/05/2029,active,15000,160000
9,KA03IJ9012,ccp,3year,30/05/2026,30/05/2029,active,7500,60000
10,DL12MN7890,extended,3year,08/07/2026,08/07/2029,active,15000,160000
11,DL12MN7890,ccp,2year,08/07/2026,08/07/2028,active,5500,45000
12,PB03QR5678,extended,2year,28/10/2026,28/10/2028,active,12000,140000
13,GJ01UV3456,extended,3year,19/08/2026,19/08/2029,active,15000,160000
14,GJ01UV3456,ccp,1year,19/08/2026,19/08/2027,active,3500,25000
15,TN09GH5678,extended,2year,18/09/2025,18/09/2027,expired,12000,140000
16,MH02XX1234,ccp,1year,15/01/2025,15/01/2026,pending_payment,3500,25000
